 Mulai Proses ------------------------------ 2023-08-16 11:57:13
Err 	 goods_receive 	 no : 	 4900001107 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001107-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001108 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001108-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001109 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001109-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001110 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001110-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001111 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001112 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001112-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001113 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001113-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001114 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001114-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001115 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001115-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001116 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001116-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001117 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001117-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001118 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001118-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001119 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001119-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001120 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001120-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001121 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001121-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001122 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001122-T3022' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001123 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001123-T3022' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001124 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001127 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001127-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001130 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001131 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001131-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001132 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001132-T3022' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001133 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001134 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001134-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001135 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001135-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001136 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001136-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001137 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001137-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001138 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001138-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001139 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001139-' for key 'Index 3'
